[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:51,450 INFO Emulation - Epoch # 167 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:52,453 INFO Emulation - Epoch # 168 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:53,465 INFO Emulation - Epoch # 169 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:54,475 INFO Emulation - Epoch # 170 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:55,485 INFO Emulation - Epoch # 171 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:56,497 INFO Emulation - Epoch # 172 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:57,511 INFO Emulation - Epoch # 173 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:58,518 INFO Emulation - Epoch # 174 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:59,529 INFO Emulation - Epoch # 175 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:35:00,547 INFO Emulation - Epoch # 176 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:35:01,556 INFO Emulation - Epoch # 177 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:35:02,569 INFO Emulation - Epoch # 178 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:35:03,579 INFO Emulation - Epoch # 179 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:35:04,588 INFO Emulation - Epoch # 180 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:35:05,598 INFO Emulation - Epoch # 181 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:35:06,630 INFO Emulation - Epoch # 182 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:35:07,640 INFO Emulation - Epoch # 183 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:35:08,654 INFO Emulation - Epoch # 184 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:35:09,665 INFO Emulation - Epoch # 185 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:35:10,677 INFO Emulation - Epoch # 186 - loss => 17.332721507910527
